listener_id,n_ratings,speaker_accent_srcc,n_identical,identical_percent,mean_absolute_difference
21,550,0.9986962776255351,547,99.45454545454545,0.005454545454545455
06,573,0.9421135392005221,498,86.91099476439791,0.2111692844677138
18,562,0.9136712672256485,396,70.4626334519573,0.3202846975088968
22,550,0.877250739930045,414,75.27272727272727,0.26181818181818184
03,547,0.8739062415410381,497,90.85923217550274,0.14076782449725778
10,573,0.8702280775989796,423,73.82198952879581,0.2670157068062827
04,547,0.8603694135487611,413,75.50274223034735,0.2961608775137112
14,565,0.8455681169640248,401,70.97345132743362,0.3805309734513274
20,565,0.8383078907340116,466,82.47787610619469,0.27256637168141595
16,255,0.8166819609574391,208,81.56862745098039,0.4196078431372549
01,547,0.810302362937022,344,62.888482632541134,0.396709323583181
25,550,0.7989517668807536,387,70.36363636363636,0.38
19,565,0.7913207162486091,288,50.97345132743363,0.5982300884955752
09,573,0.757182729797238,489,85.34031413612566,0.2914485165794066
07,573,0.752342116977582,340,59.33682373472949,0.493891797556719
02,547,0.7342278659207734,306,55.94149908592322,0.716636197440585
11,565,0.7267215927512801,452,80.0,0.2920353982300885
23,550,0.7124285007382712,344,62.54545454545455,0.5109090909090909
17,565,0.6836236215373439,398,70.4424778761062,0.4654867256637168
13,565,0.6676404925106304,391,69.20353982300885,0.37168141592920356
12,565,0.6622806633309051,313,55.39823008849557,0.5787610619469027
05,547,0.625390167820794,518,94.69835466179158,0.15173674588665448
08,573,0.4627640744362814,319,55.67190226876091,0.6352530541012217
24,550,0.4608668506931283,317,57.63636363636363,0.7454545454545455
15,565,0.4364555576115312,326,57.69911504424779,0.6690265486725664
