system_id,utterance_id,wav_a_path,wav_b_path,n_ratings,speaker_mean,accent_mean,speaker_sd,accent_sd,accent_minus_speaker_sd
sys001,utt002,wav/vmc2026-track3-sys001-utt002.wav,wav/vmc2026-track3-sys019-utt001.wav,5,4.8,4.4,0.4472135954999579,0.8944271909999159,0.4472135954999579
sys001,utt006,wav/vmc2026-track3-sys001-utt006.wav,wav/vmc2026-track3-sys019-utt005.wav,5,4.6,4.4,0.5477225575051662,0.8944271909999159,0.34670463349474967
sys001,utt008,wav/vmc2026-track3-sys001-utt008.wav,wav/vmc2026-track3-sys019-utt007.wav,5,4.8,4.8,0.4472135954999579,0.4472135954999579,0.0
sys001,utt010,wav/vmc2026-track3-sys001-utt010.wav,wav/vmc2026-track3-sys019-utt009.wav,5,4.8,4.8,0.4472135954999579,0.4472135954999579,0.0
sys001,utt012,wav/vmc2026-track3-sys001-utt012.wav,wav/vmc2026-track3-sys019-utt011.wav,5,4.0,3.8,1.224744871391589,1.3038404810405297,0.0790956096489408
sys001,utt014,wav/vmc2026-track3-sys001-utt014.wav,wav/vmc2026-track3-sys019-utt013.wav,5,4.8,4.8,0.4472135954999579,0.4472135954999579,0.0
sys001,utt016,wav/vmc2026-track3-sys001-utt016.wav,wav/vmc2026-track3-sys019-utt015.wav,5,4.8,4.8,0.4472135954999579,0.4472135954999579,0.0
sys001,utt018,wav/vmc2026-track3-sys001-utt018.wav,wav/vmc2026-track3-sys019-utt017.wav,5,3.8,3.8,1.6431676725154984,1.6431676725154984,0.0
sys001,utt020,wav/vmc2026-track3-sys001-utt020.wav,wav/vmc2026-track3-sys019-utt019.wav,5,2.8,3.4,1.6431676725154984,1.140175425099138,-0.5029922474163604
sys001,utt022,wav/vmc2026-track3-sys001-utt022.wav,wav/vmc2026-track3-sys019-utt021.wav,4,3.5,4.25,1.2909944487358056,0.9574271077563381,-0.3335673409794675
sys001,utt024,wav/vmc2026-track3-sys001-utt024.wav,wav/vmc2026-track3-sys019-utt023.wav,5,4.0,4.0,1.224744871391589,1.224744871391589,0.0
sys001,utt026,wav/vmc2026-track3-sys001-utt026.wav,wav/vmc2026-track3-sys019-utt025.wav,4,4.0,4.5,0.816496580927726,1.0,0.18350341907227397
sys001,utt028,wav/vmc2026-track3-sys001-utt028.wav,wav/vmc2026-track3-sys019-utt027.wav,5,4.4,4.6,0.5477225575051661,0.5477225575051662,1.1102230246251565e-16
sys001,utt030,wav/vmc2026-track3-sys001-utt030.wav,wav/vmc2026-track3-sys019-utt029.wav,5,3.6,3.6,0.5477225575051661,0.8944271909999159,0.3467046334947498
sys001,utt032,wav/vmc2026-track3-sys001-utt032.wav,wav/vmc2026-track3-sys019-utt031.wav,5,3.8,4.2,0.8366600265340756,0.8366600265340756,0.0
